samolot;data;trasa;premier
YK;13.08.2009;EPWA-EPKT-EPWA;dane/pdt.pdf
YK;15.08.2009;EPWA-EPGD;dane/pdt.pdf
W3;18.08.2009;EPWA-Jarocin-EPWA;dane/pdt.pdf
YK;21.08.2009;EPWA-EPGD;dane/pdt.pdf
YK;31.08.2009;EPWA-EPGD;dane/pdt.pdf
YK;31.08.2009;EPGD-EPWA;dane/pdt.pdf
YK;31.08.2009;EPWA-EPGD;dane/pdt.pdf
YK;02.09.2009;EPGD-EPWA;dane/pdt.pdf
YK;02.09.2009;EPWA-EPGD;dane/pdt.pdf
YK;07.09.2009;EPGD-EPWA-EPWR-EPWA;dane/pdt.pdf
YK;11.09.2009;EPWA-EPKK-EPWA;dane/pdt.pdf
YK;11.09.2009;EPWA-EPGD-EPWA;dane/pdt.pdf
YK;17.09.2009;EPWA-Bruksela;dane/pdt.pdf
YK;19.09.2009;Eindhoven - EPGD-EPWA;dane/pdt.pdf
YK;21.09.2009;EPGD-EPWA;dane/pdt.pdf
TU;04.10.2009;EPWa-Berlin-EPGD-EPWA;dane/pdt.pdf
YK;04.10.2009;EPGD-EPWA;dane/pdt.pdf
YK;10.10.2009;EPWA-EPGD;dane/pdt.pdf
YK;12.10.2009;EPGD-EPWA;dane/pdt.pdf
TU;16.10.2009;EPWA-EPGD;dane/pdt.pdf
TU;19.10.2009;EPWA-EPGD-Bruksela-EPWA;dane/pdt.pdf
TU;23.10.2009;EPWA- Valetta-Ateny-EPWA;dane/pdt.pdf
TU;30.10.2009;EPWA- Bruksela-EPWA;dane/pdt.pdf
TU;30.10.2009;EPWA-EPGD;dane/pdt.pdf
TU;05.11.2009;EPWA-Paryż-EPWA;dane/pdt.pdf
YK;06.11.2009;EPWA-EPGD;dane/pdt.pdf
TU;09.11.2009;EPWA-EPGD-Berlin-EPWA;dane/pdt.pdf
YK;13.11.2009;EPWA-EPGD;dane/pdt.pdf
TU;20.11.2009;EPWA-Bruksela-EPWA;dane/pdt.pdf
YK;21.11.2009;EPWA-EPGD;dane/pdt.pdf
YK;27.11.2009;EPWA-EPGD;dane/pdt.pdf
W3;29.11.2009;EPWA-EPGD;dane/pdt.pdf
TU;30.11.2009;EPGD-EPWA;dane/pdt.pdf
YK;04.12.2009;EPWA-EPKK-EPGD-EPWA;dane/pdt.pdf
W3;07.12.2009;EPGD- Łyse-EPWA;dane/pdt.pdf
YK;11.12.2009;EPWA-Kolonia-Bruksela-EPGD-EPWA;dane/pdt.pdf
YK;14.12.2009;EPGD-EPWA;dane/pdt.pdf
TU;18.12.2009;EPWA-Kopenhaga-EPWA;dane/pdt.pdf
YK;18.12.2009;EPWA-EPGD;dane/pdt.pdf
YK;23.12.2009;EPWA-EPGD;dane/pdt.pdf
YK;30.12.2009;EPWA-EPGD;dane/pdt.pdf
YK;08.01.2010;EPWA-EPGD;dane/pdt.pdf
Bell;22.01.2010;EPWA-Orzysz-EPGD;dane/pdt.pdf
YK;25.01.2010;EPGD-EPWA;dane/pdt.pdf
YK;27.01.2010;EPWA-EPKK-Oświęcim;dane/pdt.pdf
Bell;27.01.2010;EPWA-EPKK-Oświęcim;dane/pdt.pdf
YK;29.01.2010;EPWA-EPGD;dane/pdt.pdf
YK;05.02.2010;EPWA-EPGD;dane/pdt.pdf
YK;07.02.2010;EPGD-EPWA-EPGD;dane/pdt.pdf
YK;09.02.2010;EPGD-EPWA;dane/pdt.pdf
TU;11.02.2010;EPWA-Bruksela-EPWA;dane/pdt.pdf
YK;12.02.2010;EPWA-EPGD;dane/pdt.pdf
YK;15.02.2010;EPGD-EPWA;dane/pdt.pdf
YK;19.02.2010;EPWA-EPGD;dane/pdt.pdf
TU;24.02.2010;EPWA-BUD-EPWA;dane/pdt.pdf
YK;26.02.2010;EPWA-EPGD;dane/pdt.pdf
YK;05.03.2010;EPWA-EPGD;dane/pdt.pdf
YK;08.03.2010;Gdynia-EPWA;dane/pdt.pdf
TU;12.03.2010;EPWA-Baku-Tbilisi-Erewań-EPGD-EPWA;dane/pdt.pdf
YK;15.03.2010;EPGD-EPWA;dane/pdt.pdf
YK;19.03.2010;EPWA-EPGD;dane/pdt.pdf
TU;26.03.2010;EPWA-Bruksela-EPWA;dane/pdt.pdf
YK;27.03.2010;EPWA-EPGD;dane/pdt.pdf
TU;07.04.2010;EPWA-Smoleńsk-EPWA;dane/pdt.pdf
TU;08.04.2010;EPWA-PRG-EPWA;dane/pdt.pdf
Bell;08.04.2010;EPWA-Szczytno-EPWA;dane/pdt.pdf
YK;09.04.2010;EPWA-EPGD;dane/pdt.pdf
YK;11.04.2010;EPWA-EPGD;dane/pdt.pdf
W3;19.04.2010;EPWA-Przasnysz-EPWA;dane/pdt.pdf
MI8;20.04.2010;EPWA-EPGD;dane/pdt.pdf
MI8;21.04.2010;EPGD-Kołobrzeg-EPGD;dane/pdt.pdf
YK;24.04.2010;EPWA-EPGD;dane/pdt.pdf
YK;26.04.2010;EPWA-EPGD-EPWA;dane/pdt.pdf
NA;NA;NA;dane/pdt.pdf
YK;07.05.2010;EPWA-EPGD;dane/pdt.pdf
czarter;13.05.2010;Akwizgran;dane/pdt.pdf
YK;14.05.2010;WPWA-EPGD;dane/pdt.pdf
YK;15.05.2010;EPGD-EPWA-EPWA;dane/pdt.pdf
YK;18.05.2010;EPWA-EPKK-EPWA;dane/pdt.pdf
YK;23.05.2010;EPGD-EPWA;dane/pdt.pdf
YK;26.05.2010;EPWA-EPKK-EPWA;dane/pdt.pdf
YK;28.05.2010;EPWA-EPGD;dane/pdt.pdf
YK;31.05.2010;EPGD-EPWA;dane/pdt.pdf
YK;02.06.2010;EPWA-EPGD;dane/pdt.pdf
YK;04.06.2010;EPGD-EPWA-EPGD;dane/pdt.pdf
YK;05.06.2010;EPGD-EPWA;dane/pdt.pdf
W3;05.06.2010;EPWA-Sandomierz-EPWA;dane/pdt.pdf
W3;06.06.2010;EPWA-Sandomierz-EPWA;dane/pdt.pdf
YK;06.06.2010;EPWA-EPGD;dane/pdt.pdf
YK;07.06.2010;EPGD-EPWA;dane/pdt.pdf
EMB;09.06.2010;WAW- Bruksela-WAW;dane/pdt.pdf
YK;11.06.2010;EPWA-EPGD;dane/pdt.pdf
